,Features,"Local 
 Importance",Class,Trial
358,hmm5_sd.3 > 0.02,0.019247843259954548,Experiment,Trial 1
359,0.01 < hmm5_sd.4 <= 0.02,-0.013875632097253046,Control,Trial 1
360,hmm5_mean.3 > 0.24,-0.011666378097906596,Control,Trial 1
361,0.01 < hmm5_sd.1 <= 0.02,-0.01144886652522757,Control,Trial 1
362,hmm5_p4 <= 0.15,-0.011114455814094523,Control,Trial 1
363,average_peak_magnitude > 0.91,-0.010382027616561838,Control,Trial 1
364,hmm5_mean.2 > 0.28,-0.010361759437805757,Control,Trial 1
365,hmm5_mean.1 <= 0.15,-0.007979877049474523,Control,Trial 1
366,average_peak_curvature <= -0.00,0.00701091526077009,Experiment,Trial 1
367,hmm5_p1 <= 0.13,0.005958470755503922,Experiment,Trial 1
368,0.02 < hmm5_sd.5 <= 0.04,-0.0045860371581119466,Control,Trial 1
369,0.24 < hmm5_mean.5 <= 0.35,0.0032634799829394556,Experiment,Trial 1
370,-0.08 < average_speed <= 0.29,-0.0012928980416564665,Control,Trial 1
371,hmm5_sd.2 > 0.02,-0.0008318942416860292,Control,Trial 1
372,0.15 < hmm5_mean.4 <= 0.22,0.0004242719419412354,Experiment,Trial 1
373,0.16 < hmm5_p3 <= 0.23,4.196154499950899e-05,Experiment,Trial 1
374,-0.45 < MM_Hess <= 7.22,0.31879297531961787,Experiment,Trial 1
375,angle_sum <= -0.58,0.15385345163556047,Experiment,Trial 1
376,dis_sum <= -0.65,0.13670338988392625,Experiment,Trial 1
377,-0.63 < idle_time <= -0.24,-0.10046111676125721,Control,Trial 1
378,-0.25 < MM_Intercept <= -0.02,0.03809375847362833,Experiment,Trial 1
379,-0.00 < average_peak_curvature <= -0.00,0.03377912044308521,Experiment,Trial 1
380,0.14 < hmm5_mean.3 <= 0.19,-0.02786755633065911,Control,Trial 1
381,hmm5_mean.5 > 0.34,-0.026630462651630535,Control,Trial 1
382,0.22 < hmm5_mean.4 <= 0.27,0.022450589110393417,Experiment,Trial 1
383,0.34 < average_peak_magnitude <= 1.05,0.02153907528621262,Experiment,Trial 1
384,0.20 < hmm5_p4 <= 0.25,0.01902412672970483,Experiment,Trial 1
385,hmm5_p2 > 0.28,0.01812283334930134,Experiment,Trial 1
386,0.02 < hmm5_sd.1 <= 0.03,-0.017811808964173247,Control,Trial 1
387,-0.08 < average_speed <= 0.29,0.017271054986172353,Experiment,Trial 1
388,0.01 < hmm5_sd.2 <= 0.02,0.01438657245574567,Experiment,Trial 1
389,hmm5_sd.4 > 0.03,-0.00817108233323902,Control,Trial 1
390,0.01 < hmm5_sd.3 <= 0.02,0.006635667243251045,Experiment,Trial 1
391,0.02 < hmm5_sd.5 <= 0.03,-0.006042253573866401,Control,Trial 1
392,hmm5_mean.1 > 0.33,0.0037124638365492024,Experiment,Trial 1
393,hmm5_p1 <= 0.13,0.002773195322279488,Experiment,Trial 1
394,hmm5_mean.2 <= 0.13,-0.0021966614456951105,Control,Trial 1
395,hmm5_p3 > 0.22,0.0008044929257963274,Experiment,Trial 1
396,-18.28 < MM_Hess <= 1.02,0.48594822187544295,Experiment,Trial 1
397,angle_sum <= -0.58,0.13232749719314454,Experiment,Trial 1
398,dis_sum <= -0.65,0.10971082018438613,Experiment,Trial 1
399,average_peak_magnitude > 0.91,-0.10530791607569683,Control,Trial 1
400,MM_Intercept > 0.20,-0.09473398860642669,Control,Trial 1
401,hmm5_sd.1 > 0.03,-0.02643951573350838,Control,Trial 1
402,hmm5_p1 <= 0.13,-0.026206036565500364,Control,Trial 1
403,hmm5_sd.3 > 0.02,-0.020681543734209478,Control,Trial 1
404,hmm5_p2 > 0.28,0.016318214831410036,Experiment,Trial 1
405,average_peak_curvature <= -0.00,-0.014043230030459434,Control,Trial 1
406,0.20 < hmm5_p4 <= 0.25,-0.013314553890601847,Control,Trial 1
407,-0.76 < average_speed <= -0.02,-0.01150634907727601,Control,Trial 1
408,hmm5_sd.2 > 0.02,0.006507630042845653,Experiment,Trial 1
409,0.18 < hmm5_mean.2 <= 0.28,-0.005204717503234797,Control,Trial 1
410,-0.24 < idle_time <= 0.26,0.00430033918803139,Experiment,Trial 1
411,0.24 < hmm5_mean.5 <= 0.35,-0.0038940591656350322,Control,Trial 1
412,0.12 < hmm5_p3 <= 0.17,0.0019643660398242445,Experiment,Trial 1
413,hmm5_mean.1 > 0.33,0.0016480466483777927,Experiment,Trial 1
414,0.01 < hmm5_sd.5 <= 0.02,-0.0010741919661285365,Control,Trial 1
415,hmm5_mean.3 > 0.24,-0.0005299738526221506,Control,Trial 1
416,0.01 < hmm5_sd.4 <= 0.02,-0.0004701466842844609,Control,Trial 1
417,hmm5_mean.4 > 0.26,0.00021265370525221647,Experiment,Trial 1
418,MM_Hess <= -11.75,-0.448126417389061,Control,Trial 1
419,-0.63 < idle_time <= -0.24,-0.07862615997242625,Control,Trial 1
420,average_peak_magnitude > 0.91,-0.07733821024596065,Control,Trial 1
421,average_peak_curvature <= -0.00,0.04379796574922393,Experiment,Trial 1
422,MM_Intercept > 0.20,-0.04376401036008965,Control,Trial 1
423,0.12 < hmm5_p3 <= 0.17,0.031384902197215986,Experiment,Trial 1
424,0.22 < hmm5_mean.4 <= 0.27,0.01965247281824657,Experiment,Trial 1
425,0.22 < hmm5_p2 <= 0.29,0.018810331880334215,Experiment,Trial 1
426,0.18 < hmm5_p1 <= 0.22,0.015762835220988574,Experiment,Trial 1
427,-0.69 < dis_sum <= -0.02,0.015399621361883263,Experiment,Trial 1
428,0.02 < hmm5_sd.1 <= 0.03,-0.013431209614058243,Control,Trial 1
429,hmm5_mean.2 > 0.28,-0.011902352235965195,Control,Trial 1
430,0.01 < hmm5_sd.5 <= 0.02,-0.01186480483468329,Control,Trial 1
431,hmm5_mean.3 > 0.24,-0.009511768474442675,Control,Trial 1
432,hmm5_sd.2 > 0.02,0.005139117904192416,Experiment,Trial 1
433,-0.08 < average_speed <= 0.29,-0.00388134217465919,Control,Trial 1
434,0.24 < hmm5_mean.5 <= 0.35,-0.00385401733064643,Control,Trial 1
435,0.20 < hmm5_p4 <= 0.25,-0.002579787696165018,Control,Trial 1
436,hmm5_mean.1 > 0.33,0.002379844972154958,Experiment,Trial 1
437,0.01 < hmm5_sd.3 <= 0.02,-0.0015733189621487723,Control,Trial 1
438,0.02 < hmm5_sd.4 <= 0.03,0.001142486331126844,Experiment,Trial 1
439,-0.37 < angle_sum <= 0.74,0.000874149045253433,Experiment,Trial 1
440,MM_Hess > 7.01,-0.37355104121929633,Control,Trial 1
441,idle_time > 0.05,0.18028091753843553,Experiment,Trial 1
442,angle_sum <= -0.58,0.09271970444374014,Experiment,Trial 1
443,dis_sum <= -0.65,0.08336345081428465,Experiment,Trial 1
444,average_peak_magnitude <= -0.15,0.050873673840096514,Experiment,Trial 1
445,0.21 < hmm5_mean.1 <= 0.34,0.028445579163765826,Experiment,Trial 1
446,0.22 < hmm5_p2 <= 0.29,-0.019483050123589536,Control,Trial 1
447,hmm5_sd.2 <= 0.01,-0.014406932656278466,Control,Trial 1
448,0.16 < hmm5_p3 <= 0.23,0.013778458982479537,Experiment,Trial 1
449,-0.25 < MM_Intercept <= -0.02,0.012120068554822085,Experiment,Trial 1
450,0.13 < hmm5_p1 <= 0.19,0.011927251550859769,Experiment,Trial 1
451,0.02 < hmm5_sd.1 <= 0.03,-0.009824587604429494,Control,Trial 1
452,0.14 < hmm5_mean.3 <= 0.19,-0.009609550917685313,Control,Trial 1
453,hmm5_sd.3 <= 0.01,-0.009550077612752821,Control,Trial 1
454,average_peak_curvature > -0.00,-0.008842162055772944,Control,Trial 1
455,0.12 < hmm5_mean.2 <= 0.19,-0.006880128859998834,Control,Trial 1
456,average_speed <= -0.67,0.005941384100172733,Experiment,Trial 1
457,0.01 < hmm5_sd.5 <= 0.02,0.005716549742767906,Experiment,Trial 1
458,0.15 < hmm5_p4 <= 0.21,-0.00453127056458667,Control,Trial 1
459,hmm5_mean.5 <= 0.16,0.0018977106538422446,Experiment,Trial 1
460,hmm5_sd.4 <= 0.01,-0.00047638937046889853,Control,Trial 1
461,0.15 < hmm5_mean.4 <= 0.22,-0.00039165713253592934,Control,Trial 1
462,-19.21 < MM_Hess <= 1.02,0.47215216542028526,Experiment,Trial 1
463,dis_sum <= -0.65,0.18027704340862688,Experiment,Trial 1
464,-0.62 < angle_sum <= -0.33,0.1082944827145574,Experiment,Trial 1
465,0.24 < hmm5_mean.5 <= 0.35,0.022966304788391782,Experiment,Trial 1
466,hmm5_mean.3 <= 0.14,-0.020709123797289865,Control,Trial 1
467,average_peak_curvature > -0.00,-0.016529242026627707,Control,Trial 1
468,0.18 < hmm5_p1 <= 0.22,0.015778203731632214,Experiment,Trial 1
469,hmm5_p4 <= 0.15,-0.014992356756261014,Control,Trial 1
470,-0.24 < idle_time <= 0.26,0.012750790421870085,Experiment,Trial 1
471,0.01 < hmm5_sd.1 <= 0.02,0.011867916416501664,Experiment,Trial 1
472,0.19 < hmm5_p2 <= 0.23,-0.010680043253276986,Control,Trial 1
473,-0.04 < MM_Intercept <= 0.22,0.010352148141665312,Experiment,Trial 1
474,0.02 < hmm5_sd.4 <= 0.03,0.00798105179098711,Experiment,Trial 1
475,0.02 < hmm5_sd.5 <= 0.04,-0.00598074239819475,Control,Trial 1
476,hmm5_mean.4 > 0.26,0.0036133839357936673,Experiment,Trial 1
477,-0.76 < average_speed <= -0.02,0.003083174211712485,Experiment,Trial 1
478,0.14 < hmm5_mean.1 <= 0.21,-0.0027423291065968936,Control,Trial 1
479,hmm5_sd.3 > 0.02,-0.0025819669098722854,Control,Trial 1
480,-0.20 < average_peak_magnitude <= 0.41,-0.001724298503070446,Control,Trial 1
481,0.18 < hmm5_mean.2 <= 0.28,0.0015189523040376996,Experiment,Trial 1
482,hmm5_p3 > 0.22,-0.0013822672775017104,Control,Trial 1
483,0.01 < hmm5_sd.2 <= 0.01,-0.001056037319817701,Control,Trial 1
484,-0.45 < MM_Hess <= 7.22,0.29493914099186325,Experiment,Trial 1
485,-0.62 < angle_sum <= -0.33,0.07623831629368083,Experiment,Trial 1
486,-0.24 < idle_time <= 0.26,-0.035303549625018645,Control,Trial 1
487,average_speed <= -0.67,-0.02984548055744783,Control,Trial 1
488,-0.69 < dis_sum <= -0.02,0.02669103327659491,Experiment,Trial 1
489,hmm5_p1 > 0.22,0.025833872302002157,Experiment,Trial 1
490,0.18 < hmm5_mean.2 <= 0.28,0.02176735065694406,Experiment,Trial 1
491,0.01 < hmm5_sd.2 <= 0.01,-0.016683510374641327,Control,Trial 1
492,hmm5_mean.4 <= 0.16,0.015766051208983414,Experiment,Trial 1
493,hmm5_p3 <= 0.13,0.012273385257925777,Experiment,Trial 1
494,hmm5_p2 <= 0.19,0.012136633839816545,Experiment,Trial 1
495,hmm5_sd.4 > 0.03,-0.011945708568956522,Control,Trial 1
496,-0.00 < average_peak_curvature <= -0.00,0.00808674473585043,Experiment,Trial 1
497,0.01 < hmm5_sd.3 <= 0.02,0.008020769336989649,Experiment,Trial 1
498,hmm5_mean.3 > 0.24,0.007549233867693863,Experiment,Trial 1
499,0.14 < hmm5_mean.1 <= 0.21,0.007461374759546655,Experiment,Trial 1
500,-0.20 < average_peak_magnitude <= 0.41,-0.005107628358203472,Control,Trial 1
501,0.02 < hmm5_sd.5 <= 0.04,0.003579031645130681,Experiment,Trial 1
502,-0.25 < MM_Intercept <= -0.02,-0.0034756512904749125,Control,Trial 1
503,hmm5_mean.5 <= 0.16,-0.0033400426923156238,Control,Trial 1
504,0.01 < hmm5_sd.1 <= 0.02,0.0016798500068503322,Experiment,Trial 1
505,0.15 < hmm5_p4 <= 0.21,-0.0004510553829491709,Control,Trial 1
506,-19.21 < MM_Hess <= 1.02,0.49907981860995915,Experiment,Trial 1
507,dis_sum <= -0.65,0.15859698343622905,Experiment,Trial 1
508,angle_sum <= -0.58,0.1317654310064318,Experiment,Trial 1
509,0.12 < hmm5_p3 <= 0.17,0.020299628989085397,Experiment,Trial 1
510,0.12 < hmm5_mean.2 <= 0.19,0.019291805171759047,Experiment,Trial 1
511,hmm5_p1 > 0.22,0.016834031210659243,Experiment,Trial 1
512,hmm5_mean.1 <= 0.15,-0.016607851664500097,Control,Trial 1
513,-0.24 < idle_time <= 0.26,-0.015922014476097562,Control,Trial 1
514,hmm5_mean.5 > 0.34,0.01560932174661407,Experiment,Trial 1
515,-0.76 < average_speed <= -0.02,-0.013700248130938815,Control,Trial 1
516,0.01 < hmm5_sd.3 <= 0.01,-0.013214913168040063,Control,Trial 1
517,0.01 < hmm5_sd.4 <= 0.02,-0.01292975250865953,Control,Trial 1
518,0.22 < hmm5_mean.4 <= 0.27,0.012151582749196005,Experiment,Trial 1
519,hmm5_sd.1 > 0.03,0.011302299990517573,Experiment,Trial 1
520,0.19 < hmm5_p2 <= 0.23,-0.010622904913285137,Control,Trial 1
521,0.20 < hmm5_p4 <= 0.25,-0.00725230995709518,Control,Trial 1
522,-0.04 < MM_Intercept <= 0.22,-0.005503494152340243,Control,Trial 1
523,0.34 < average_peak_magnitude <= 1.05,-0.005343376273477813,Control,Trial 1
524,0.01 < hmm5_sd.2 <= 0.01,0.004884488596407212,Experiment,Trial 1
525,-0.00 < average_peak_curvature <= -0.00,-0.004197813255504436,Control,Trial 1
526,0.18 < hmm5_mean.3 <= 0.25,-0.0013950825929380337,Control,Trial 1
527,hmm5_sd.5 > 0.03,0.00114108883944253,Experiment,Trial 1
528,-0.45 < MM_Hess <= 7.22,0.3306869328447738,Experiment,Trial 1
529,idle_time > 0.05,0.2237590373759176,Experiment,Trial 1
530,average_speed <= -0.67,-0.04862380287446724,Control,Trial 1
531,-0.69 < dis_sum <= -0.02,0.02937564849773033,Experiment,Trial 1
532,hmm5_p4 > 0.24,-0.026952824608311075,Control,Trial 1
533,-0.37 < angle_sum <= 0.74,-0.021208574453544692,Control,Trial 1
534,hmm5_p3 > 0.22,0.020185713490046563,Experiment,Trial 1
535,hmm5_mean.3 <= 0.14,-0.013316251428588013,Control,Trial 1
536,0.02 < hmm5_sd.5 <= 0.04,-0.011831978304085786,Control,Trial 1
537,hmm5_mean.2 > 0.28,0.010836937614841686,Experiment,Trial 1
538,-0.25 < MM_Intercept <= -0.02,0.010753270755314515,Experiment,Trial 1
539,hmm5_sd.1 <= 0.01,0.009517948853600938,Experiment,Trial 1
540,hmm5_p2 <= 0.19,0.008134815489776027,Experiment,Trial 1
541,-0.18 < average_peak_magnitude <= 0.41,0.007505831742316284,Experiment,Trial 1
542,0.01 < hmm5_sd.3 <= 0.02,0.006898475785904221,Experiment,Trial 1
543,hmm5_p1 <= 0.13,0.004819377713112791,Experiment,Trial 1
544,hmm5_mean.1 > 0.33,0.004208866287762461,Experiment,Trial 1
545,average_peak_curvature > -0.00,-0.0030261154415233784,Control,Trial 1
546,hmm5_mean.4 <= 0.16,-0.002599127458345777,Control,Trial 1
547,hmm5_sd.2 > 0.02,-0.002460401953853459,Control,Trial 1
548,0.02 < hmm5_sd.4 <= 0.03,-0.0014718015914590224,Control,Trial 1
549,0.16 < hmm5_mean.5 <= 0.25,0.0009751291957816774,Experiment,Trial 1
550,MM_Hess > 7.07,-0.31915869375409883,Control,Trial 1
551,idle_time > 0.05,0.18390475597956718,Experiment,Trial 1
552,dis_sum <= -0.65,0.12603485681703283,Experiment,Trial 1
553,-0.60 < angle_sum <= -0.33,0.09736204206547103,Experiment,Trial 1
554,0.21 < hmm5_mean.1 <= 0.34,-0.034762291927256245,Control,Trial 1
555,-0.25 < MM_Intercept <= -0.02,0.02373568319372938,Experiment,Trial 1
556,hmm5_p1 > 0.22,0.02061719851242914,Experiment,Trial 1
557,hmm5_mean.3 <= 0.14,-0.01764352415846227,Control,Trial 1
558,0.12 < hmm5_mean.2 <= 0.19,0.016869628305077922,Experiment,Trial 1
559,hmm5_sd.2 <= 0.01,0.015701711162470627,Experiment,Trial 1
560,hmm5_sd.4 <= 0.01,-0.01486904795743806,Control,Trial 1
561,-0.20 < average_peak_magnitude <= 0.41,0.013797097700299556,Experiment,Trial 1
562,hmm5_mean.4 <= 0.16,-0.01204918257096635,Control,Trial 1
563,hmm5_p2 <= 0.19,-0.010609443627412394,Control,Trial 1
564,hmm5_sd.1 > 0.03,-0.008094632268510347,Control,Trial 1
565,0.12 < hmm5_p3 <= 0.17,-0.007390155241791086,Control,Trial 1
566,hmm5_sd.3 <= 0.01,0.007322486938602195,Experiment,Trial 1
567,average_speed <= -0.67,0.0057810102252581295,Experiment,Trial 1
568,0.02 < hmm5_sd.5 <= 0.04,-0.0030486563132631123,Control,Trial 1
569,hmm5_mean.5 <= 0.16,0.0028493289387558273,Experiment,Trial 1
570,hmm5_p4 <= 0.15,-0.0018362579233936877,Control,Trial 1
571,-0.00 < average_peak_curvature <= -0.00,0.0006204170690699375,Experiment,Trial 1
572,-0.45 < MM_Hess <= 7.22,0.33223948563344174,Experiment,Trial 1
573,dis_sum <= -0.65,0.17735813040511525,Experiment,Trial 1
574,angle_sum <= -0.58,0.1438006780166632,Experiment,Trial 1
575,idle_time <= -0.52,-0.10515151136501714,Control,Trial 1
576,average_speed > 0.25,0.07817503003162564,Experiment,Trial 1
577,average_peak_curvature > -0.00,-0.032068246738935734,Control,Trial 1
578,average_peak_magnitude <= -0.15,0.02289104583094861,Experiment,Trial 1
579,hmm5_p3 <= 0.13,-0.020652479098093913,Control,Trial 1
580,hmm5_sd.2 > 0.02,0.018473512611110725,Experiment,Trial 1
581,0.22 < hmm5_mean.4 <= 0.27,0.017468664192982968,Experiment,Trial 1
582,hmm5_sd.4 <= 0.01,0.014817683034617763,Experiment,Trial 1
583,0.14 < hmm5_mean.1 <= 0.21,-0.011530225862052546,Control,Trial 1
584,hmm5_mean.2 <= 0.13,-0.010752829206154755,Control,Trial 1
585,hmm5_p1 <= 0.13,-0.008707053548214395,Control,Trial 1
586,-0.25 < MM_Intercept <= -0.02,0.00825391650744328,Experiment,Trial 1
587,hmm5_p2 > 0.28,0.00816901192553152,Experiment,Trial 1
588,hmm5_sd.5 <= 0.01,0.00743821037453243,Experiment,Trial 1
589,0.24 < hmm5_mean.5 <= 0.35,-0.005670974751188461,Control,Trial 1
590,hmm5_sd.3 <= 0.01,0.00547104225628856,Experiment,Trial 1
591,hmm5_p4 <= 0.15,-0.0021079359859851785,Control,Trial 1
592,hmm5_sd.1 <= 0.01,-0.0017177427977816888,Control,Trial 1
593,0.14 < hmm5_mean.3 <= 0.19,0.0003795484440630595,Experiment,Trial 1
594,-19.21 < MM_Hess <= 1.02,0.471476312711706,Experiment,Trial 1
595,-0.62 < angle_sum <= -0.33,0.13445994064657144,Experiment,Trial 1
596,idle_time <= -0.52,-0.12337195169746695,Control,Trial 1
597,0.14 < hmm5_mean.1 <= 0.21,-0.038793979518098105,Control,Trial 1
598,-0.06 < dis_sum <= 0.43,-0.03532261703268024,Control,Trial 1
599,average_speed > 0.25,0.034512190195989986,Experiment,Trial 1
600,hmm5_mean.3 > 0.24,0.033873169059471075,Experiment,Trial 1
601,hmm5_p1 > 0.22,0.02253573915735859,Experiment,Trial 1
602,-0.04 < MM_Intercept <= 0.22,0.022133153722459418,Experiment,Trial 1
603,hmm5_mean.5 > 0.34,-0.02090044050166295,Control,Trial 1
604,0.34 < average_peak_magnitude <= 1.05,0.019653052191190352,Experiment,Trial 1
605,hmm5_sd.5 > 0.03,-0.01216289312041416,Control,Trial 1
606,0.16 < hmm5_p3 <= 0.23,0.011341428735652236,Experiment,Trial 1
607,0.22 < hmm5_mean.4 <= 0.27,-0.007697697390796255,Control,Trial 1
608,average_peak_curvature <= -0.00,-0.006743846502341477,Control,Trial 1
609,hmm5_sd.2 > 0.02,0.0055720674635946375,Experiment,Trial 1
610,hmm5_sd.3 > 0.02,-0.005234051709073464,Control,Trial 1
611,hmm5_p2 > 0.28,0.003674289952769727,Experiment,Trial 1
612,0.02 < hmm5_sd.4 <= 0.03,0.0020504973315927668,Experiment,Trial 1
613,0.01 < hmm5_sd.1 <= 0.02,0.0015508272151604054,Experiment,Trial 1
614,hmm5_mean.2 <= 0.13,-0.0008600401466577467,Control,Trial 1
615,0.15 < hmm5_p4 <= 0.21,-0.0002902891271628351,Control,Trial 1
616,-0.45 < MM_Hess <= 7.22,0.3471999526220377,Experiment,Trial 1
617,-0.63 < idle_time <= -0.24,-0.11626840177936142,Control,Trial 1
618,-0.62 < angle_sum <= -0.33,0.1014944471716181,Experiment,Trial 1
619,average_speed > 0.25,0.04010364623662969,Experiment,Trial 1
620,hmm5_mean.5 <= 0.16,0.03446868872435073,Experiment,Trial 1
621,0.19 < hmm5_p2 <= 0.23,-0.026733245967398116,Control,Trial 1
622,-0.20 < average_peak_magnitude <= 0.41,0.024465722530719748,Experiment,Trial 1
623,0.12 < hmm5_mean.2 <= 0.19,-0.01895327161916321,Control,Trial 1
624,-0.69 < dis_sum <= -0.02,0.01639023203686396,Experiment,Trial 1
625,-0.25 < MM_Intercept <= -0.02,0.0162499337802629,Experiment,Trial 1
626,hmm5_sd.1 <= 0.01,0.014374765321288892,Experiment,Trial 1
627,hmm5_mean.3 > 0.24,0.01136180094085523,Experiment,Trial 1
628,hmm5_sd.3 > 0.02,-0.010340920258891282,Control,Trial 1
629,0.01 < hmm5_sd.5 <= 0.02,-0.008372476871027589,Control,Trial 1
630,0.15 < hmm5_mean.4 <= 0.22,-0.007167303361048293,Control,Trial 1
631,hmm5_p3 <= 0.13,-0.004461660521515,Control,Trial 1
632,0.15 < hmm5_p4 <= 0.21,-0.004174638515969358,Control,Trial 1
633,0.18 < hmm5_p1 <= 0.22,-0.0039029186378756247,Control,Trial 1
634,average_peak_curvature > -0.00,0.0020127175947487943,Experiment,Trial 1
635,hmm5_sd.4 <= 0.01,0.0018648284130816863,Experiment,Trial 1
636,hmm5_sd.2 <= 0.01,-0.0010291065665640334,Control,Trial 1
637,0.14 < hmm5_mean.1 <= 0.21,0.0007511014050869409,Experiment,Trial 1
638,0.27 < MM_Hess <= 7.22,0.28088140124080185,Experiment,Trial 1
639,angle_sum <= -0.58,0.16182773397723724,Experiment,Trial 1
640,dis_sum <= -0.65,0.14874796605021476,Experiment,Trial 1
641,idle_time <= -0.52,-0.12808962601149962,Control,Trial 1
642,average_speed > 0.25,0.07034684311000418,Experiment,Trial 1
643,0.34 < average_peak_magnitude <= 1.05,-0.037579256224683465,Control,Trial 1
644,0.01 < hmm5_sd.2 <= 0.01,-0.02965341819278865,Control,Trial 1
645,0.01 < hmm5_sd.3 <= 0.02,0.022764323298949844,Experiment,Trial 1
646,hmm5_p2 > 0.28,-0.020755865488585407,Control,Trial 1
647,0.16 < hmm5_p3 <= 0.23,0.020006150368569307,Experiment,Trial 1
648,-0.00 < average_peak_curvature <= -0.00,0.01285890133256275,Experiment,Trial 1
649,hmm5_sd.4 > 0.03,0.00863012508110136,Experiment,Trial 1
650,hmm5_p4 <= 0.15,-0.008356557059876478,Control,Trial 1
651,0.18 < hmm5_mean.2 <= 0.28,0.007810025052922176,Experiment,Trial 1
652,hmm5_mean.4 > 0.26,-0.0057674196888018526,Control,Trial 1
653,0.13 < hmm5_p1 <= 0.19,0.0045999343162262925,Experiment,Trial 1
654,-0.04 < MM_Intercept <= 0.22,-0.003663457967467611,Control,Trial 1
655,0.16 < hmm5_mean.5 <= 0.25,-0.003560474098749757,Control,Trial 1
656,0.21 < hmm5_mean.1 <= 0.34,-0.00263909639494533,Control,Trial 1
657,0.14 < hmm5_mean.3 <= 0.19,-0.0021753389785233584,Control,Trial 1
658,hmm5_sd.5 <= 0.01,0.002008986778816073,Experiment,Trial 1
659,hmm5_sd.1 > 0.03,-0.0012049323786322804,Control,Trial 1
660,-0.45 < MM_Hess <= 7.22,0.39479854292804184,Experiment,Trial 1
661,-0.62 < angle_sum <= -0.33,0.07422717199819383,Experiment,Trial 1
662,idle_time <= -0.52,-0.07037812065413082,Control,Trial 1
663,-0.06 < dis_sum <= 0.43,-0.04873708958577089,Control,Trial 1
664,0.20 < hmm5_p4 <= 0.25,-0.04187123582158357,Control,Trial 1
665,average_speed > 0.25,0.02573969274610344,Experiment,Trial 1
666,0.16 < hmm5_mean.5 <= 0.25,0.02535713870782549,Experiment,Trial 1
667,hmm5_mean.4 > 0.26,0.025283321454090325,Experiment,Trial 1
668,hmm5_sd.3 <= 0.01,0.018218023303221035,Experiment,Trial 1
669,-0.00 < average_peak_curvature <= -0.00,0.016444225676946617,Experiment,Trial 1
670,hmm5_sd.2 <= 0.01,-0.014876768079800139,Control,Trial 1
671,-0.20 < average_peak_magnitude <= 0.41,0.011544136312781407,Experiment,Trial 1
672,0.02 < hmm5_sd.1 <= 0.03,-0.005624912364028809,Control,Trial 1
673,hmm5_mean.1 <= 0.15,-0.005119693889321075,Control,Trial 1
674,hmm5_p2 <= 0.19,-0.003788634907323765,Control,Trial 1
675,0.18 < hmm5_mean.3 <= 0.25,0.003495812607737259,Experiment,Trial 1
676,0.12 < hmm5_p3 <= 0.17,0.003062263376511981,Experiment,Trial 1
677,hmm5_sd.5 <= 0.01,-0.0026566176757214614,Control,Trial 1
678,hmm5_p1 > 0.22,-0.0025375934994430914,Control,Trial 1
679,hmm5_sd.4 > 0.03,-0.0013328867563874552,Control,Trial 1
680,-0.25 < MM_Intercept <= -0.02,-0.0011994613727939027,Control,Trial 1
681,0.18 < hmm5_mean.2 <= 0.28,-0.000338094698756919,Control,Trial 1
682,MM_Hess > 7.01,-0.7498857026249958,Control,Trial 1
683,angle_sum <= -0.58,0.08134379841072069,Experiment,Trial 1
684,-0.63 < idle_time <= -0.24,-0.07553767716641441,Control,Trial 1
685,-0.68 < dis_sum <= -0.02,0.0654487395582184,Experiment,Trial 1
686,average_peak_magnitude <= -0.15,0.04831418723011474,Experiment,Trial 1
687,MM_Intercept <= -0.20,0.04567253795279652,Experiment,Trial 1
688,hmm5_p4 <= 0.15,-0.015471520907721088,Control,Trial 1
689,hmm5_mean.2 <= 0.13,-0.015384555354969708,Control,Trial 1
690,hmm5_p1 <= 0.13,-0.012783212222271825,Control,Trial 1
691,0.01 < hmm5_sd.3 <= 0.01,-0.010511235821879494,Control,Trial 1
692,0.01 < hmm5_sd.2 <= 0.01,0.009225329392344024,Experiment,Trial 1
693,hmm5_sd.5 <= 0.01,-0.0072729344995294334,Control,Trial 1
694,0.15 < hmm5_mean.4 <= 0.22,-0.006429250770490627,Control,Trial 1
695,hmm5_p3 > 0.22,-0.0063951470053800535,Control,Trial 1
696,average_peak_curvature > -0.00,-0.006329173444234326,Control,Trial 1
697,hmm5_mean.3 <= 0.14,0.004620297793453618,Experiment,Trial 1
698,-0.08 < average_speed <= 0.29,-0.004426408759905496,Control,Trial 1
699,0.14 < hmm5_mean.1 <= 0.21,0.0027802181438200636,Experiment,Trial 1
700,hmm5_sd.4 <= 0.01,0.002300961687363613,Experiment,Trial 1
701,hmm5_mean.5 <= 0.16,0.0018427714105586697,Experiment,Trial 1
702,hmm5_sd.1 <= 0.01,-0.001538242298872675,Control,Trial 1
703,hmm5_p2 > 0.28,0.001148030870131817,Experiment,Trial 1
704,MM_Hess <= -11.75,-0.3450552070425814,Control,Trial 1
705,angle_sum > 0.38,-0.2221866775776836,Control,Trial 1
706,dis_sum > 0.40,-0.2194462515772741,Control,Trial 1
707,idle_time > 0.05,0.14849869346136585,Experiment,Trial 1
708,average_speed <= -0.67,-0.04141523824759293,Control,Trial 1
709,average_peak_magnitude > 0.91,-0.03354989543041515,Control,Trial 1
710,hmm5_mean.4 > 0.26,0.028772855689497567,Experiment,Trial 1
711,hmm5_sd.4 > 0.03,0.02381773339011935,Experiment,Trial 1
712,0.02 < hmm5_sd.1 <= 0.03,0.0227986237577153,Experiment,Trial 1
